team_code,artifact,drive_file_id
L01,poster,
L01,video,
L01,video_thumbnail,
L01,bom,
L01,source_code,
L01,tdp_pdf_optional,
L01,engineering_journal_optional,
L02,poster,
L02,video,
L02,video_thumbnail,
L02,bom,
L02,source_code,
L02,tdp_pdf_optional,
L02,engineering_journal_optional,
L03,poster,
L03,video,
L03,video_thumbnail,
L03,bom,
L03,source_code,
L03,tdp_pdf_optional,
L03,engineering_journal_optional,
L04,poster,
L04,video,
L04,video_thumbnail,
L04,bom,
L04,source_code,
L04,tdp_pdf_optional,
L04,engineering_journal_optional,
L05,poster,
L05,video,
L05,video_thumbnail,
L05,bom,
L05,source_code,
L05,tdp_pdf_optional,
L05,engineering_journal_optional,
L06,poster,
L06,video,
L06,video_thumbnail,
L06,bom,
L06,source_code,
L06,tdp_pdf_optional,
L06,engineering_journal_optional,
L07,poster,
L07,video,
L07,video_thumbnail,
L07,bom,
L07,source_code,
L07,tdp_pdf_optional,
L07,engineering_journal_optional,
L08,poster,
L08,video,
L08,video_thumbnail,
L08,bom,
L08,source_code,
L08,tdp_pdf_optional,
L08,engineering_journal_optional,
L09,poster,
L09,video,
L09,video_thumbnail,
L09,bom,
L09,source_code,
L09,tdp_pdf_optional,
L09,engineering_journal_optional,
L10,poster,
L10,video,
L10,bom,
L10,source_code,
L10,tdp_pdf_optional,
L10,engineering_journal_optional,
L11,poster,
L11,video,
L11,video_thumbnail,
L11,bom,
L11,source_code,
L11,tdp_pdf_optional,
L11,engineering_journal_optional,
L12,poster,
L12,video,
L12,video_thumbnail,
L12,bom,
L12,source_code,
L12,tdp_pdf_optional,
L12,engineering_journal_optional,
L13,poster,
L13,video,
L13,video_thumbnail,
L13,bom,
L13,source_code,
L13,tdp_pdf_optional,
L13,engineering_journal_optional,
L14,poster,
L14,video,
L14,video_thumbnail,
L14,bom,
L14,source_code,
L14,tdp_pdf_optional,
L14,engineering_journal_optional,
L15,poster,
L15,video,
L15,video_thumbnail,
L15,bom,
L15,source_code,
L15,tdp_pdf_optional,
L15,engineering_journal_optional,
L16,poster,
L16,video,
L16,bom,
L16,source_code,
L16,tdp_pdf_optional,
L16,engineering_journal_optional,
L17,poster,
L17,video,
L17,video_thumbnail,
L17,bom,
L17,source_code,
L17,tdp_pdf_optional,
L17,engineering_journal_optional,
L18,poster,
L18,video,
L18,video_thumbnail,
L18,bom,
L18,source_code,
L18,tdp_pdf_optional,
L18,engineering_journal_optional,
L19,poster,
L19,video,
L19,video_thumbnail,
L19,bom,
L19,source_code,
L19,tdp_pdf_optional,
L19,engineering_journal_optional,
L20,poster,
L20,video,
L20,video_thumbnail,
L20,bom,
L20,source_code,
L20,tdp_pdf_optional,
L20,engineering_journal_optional,
L21,poster,
L21,video,
L21,video_thumbnail,
L21,bom,
L21,source_code,
L21,tdp_pdf_optional,
L21,engineering_journal_optional,
L22,poster,
L22,video,
L22,video_thumbnail,
L22,bom,
L22,source_code,
L22,tdp_pdf_optional,
L22,engineering_journal_optional,
L23,poster,
L23,video,
L23,video_thumbnail,
L23,bom,
L23,source_code,
L23,tdp_pdf_optional,
L23,engineering_journal_optional,
L24,poster,
L24,video,
L24,video_thumbnail,
L24,bom,
L24,source_code,
L24,tdp_pdf_optional,
